@relation MyTestRelation

@attribute class {joy,trust,vigour,anger,confusion,fear,anticipation,depression,surprise,fatigue,tension,disgust}			
@attribute tweetcontent string

@data
joy,'Dear @iHrithik and @ActorMadhavan, \n\nYour work has stood out not only for the entertainment quotient but also for the passion and hardwork behind it. As widely respected voices, if you lend your voice towards increasing voter awareness, it strengthens India\'s democracy. #VoteKar'
joy,'The formidable @AnupamPKher, multifaceted @iKabirBedi and the widely acclaimed @shekharkapur have made India very proud at the world stage. \n\nMy appeal to them- can you tell fellow Indians to vote in large numbers in the upcoming elections? #VoteKar'
joy,'My fellow Indians,\n\nThe time has come to say- #VoteKar.\n\nIn the upcoming Lok Sabha elections, ensure that you as well as your family and friends turnout in record numbers.\n\nYour doing so will have a positive impact on the nation’s future.'
joy,'The #MainBhiChowkidar programme on the 31st will look even better with the attractive merchandise! \n\nHave you ordered yours? https://t.co/HVgLzNyClq'
joy,'For the 31st programme you can:\n\nShare your thoughts and ideas using #MainBhiChowkidar.\n\nMobilise people to join the interaction. \n\nOrganise an event to watch the interaction with family and friends. After all, greater participation would mean greater enthusiasm.'
joy,'Dear Doctors, Lawyers, Engineers, Teachers, IT professionals, Bankers,\n\nEach of you plays a vital role in making our nation a better place. \n\nYour efforts ensure India is healthier, prosperous, advanced and educated. \n\nSpecially inviting you to join #MainBhiChowkidar programme.'
joy,'31st March 2019…an invigorating interaction with lakhs of Chowkidars from over 500 locations across the length and breadth of India. \n\nYour participation in the #MainBhiChowkidar programme will make the interaction even more special. \n\nRegister now! https://t.co/pAqjQE97b5'
fear,'Sharing an interesting section on my website that gives you a comprehensive glimpse of the NDA government’s work in various sectors over the last 5 years. \n\nYou can find interesting articles, news updates and attractive infographics here. \n\nhttps://t.co/pVEuuZmlqR'
joy,'Government of India and various State Governments are working hard to make India TB-free by 2025, 5 years before the global target of 2030. \nCentre’s efforts such as TB Free India campaign and Ayushman Bharat are improving health standards and providing assistance to TB patients.'
anger,'Today, on World TB Day we reaffirm our commitment towards ensuring a TB-free society. This would greatly benefit the poor. \n\nCorrect and complete treatment is the key to winning the battle against TB. I also salute the people and organisations strengthening the TB-free movement.'
joy,'The vibrant colours of Holi and Josh of so many Chowkidars...thank you for sharing. \n\nWonderful effort! https://t.co/Ltl9Uc3Qof'
confusion,'Absolutely! \n\nHumbled to see her extend solidarity. \n\nPlease convey my regards to your grandmother. https://t.co/6sesph2cg0'
joy,'Superb enthusiasm in Jammu! \n\nMy best wishes to the young Chowkidars.\n\nLooking forward to seeing you all on the 31st! \n\nJoin the #MainBhiChowkidar programme. You could also organise your own programme, where you all watch the programme together. https://t.co/ObbMEgxT7Y'
joy,'New season brings new battles! Challenge each other and play the @SachinSagaGame ! Prove your mettle and win big.\n\n@AppStore #SachinSaga \n\n https://t.co/SLyDJLAPNx https://t.co/V6eZW3lyY2'
trust,'RT @bhhupender: My son #Arshveer turns #Kesari @akshaykumar sir we are proud to be Sikhs really super duper blockbuster movie.After a long…'
fear,'RT @PaytmTickets: .@akshaykumar’s terrific portrayal of Havildar Ishar Singh perfectly brings to life the bravery of zealous warriors on th…'
joy,'Today they are betraying the principles of Dr. Ram Manohar Lohia, tomorrow they will also betray the people of India. \n\nMy thoughts on why those who claim to follow Dr. Lohia have let him down. Do read. \n\nhttps://t.co/gq1srcXwkx'
trust,'Seeing this tweet made me so happy ? Proud to have such fans ?? https://t.co/HE2wzMbECy'
joy,'Greetings to @smritiirani Ji on her birthday. She has made valuable contributions towards strengthening the BJP and in the working of key sectors of the Government. I pray for her long life and good health. I also convey my best wishes to her for the upcoming election in Amethi.'
joy,'Thank you for your kind words. Let’s do this #brown power https://t.co/9qas6fD8Hj'
joy,'Special people do special things.\n\nCongratulations to all the athletes and the support staff of #TeamIndia on winning a staggering 368 medals ?at the @WorldGamesAD.\n\n?? ??????\n\n#SpecialOlympicsWorldGames2019 https://t.co/qfx9iit6pB'
anticipation,'This is the cutest picture I’ve seen today, hope they enjoyed the film. God bless them ?? https://t.co/eJdu9TlabD'
vigour,'Thank you Satnam :) https://t.co/az6q4b6M4c'
depression,'My condolences to the family and supporters of Karnataka Minister Shri CS Shivalli. \n\nShri Shivalli will be remembered for his service to Karnataka. May his soul rest in peace.'
joy,'Thank you ji ??? https://t.co/GrDvZD2SIr'
joy,'Big hug to your little one?? So glad to see parents taking their children for Kesari ?? https://t.co/g59hqGlmwL'
vigour,'Thank you https://t.co/Or25PWHAFi'
vigour,'Thank you ?? https://t.co/PYjxGLZIYa'
joy,'T 3127 - On the festive HOLI celebrations what a beautiful way to express unity, universality and the joys of coming together .. sent to me on WhatsApp .. \n??? ??? , ??? ??? , \n?? ??? ???? ?? ??? ~ab https://t.co/l5aOUUA18q'
joy,'T 3127 - On the festive HOLI celebrations what a beautiful way to express unity, universality and the joys of coming & being together .. sent to me on WhatsApp .. \n??? ??? , ??? ??? , \n?? ??? ???? ?? ??? ~ab https://t.co/k7vEo2Fdod'
joy,'To unlock your potential in what you do, it will require a great deal of practice, patience and consistency. Make it happen guys and ensure you have the right support along the way to hit your goals. ? #one8 @Puma https://t.co/K22ZxHublA'
joy,'Opposition insults our forces time and again.\n\nI appeal to my fellow Indians- question Opposition leaders on their statements.\n\nTell them- 130 crore Indians will not forgive or forget the Opposition for their antics. \n\nIndia stands firmly with our forces. \n\n#JantaMaafNahiKaregi https://t.co/rwpFKMMeHY'
joy,'Opposition is the natural habitat of terror apologists and questioners of our armed forces. \n\nThis reprehensible statement by a senior leader like Ram Gopal Ji insults all those who have given their lives in protecting Kashmir. It humiliates the families of our martyrs. https://t.co/BZyWbIyJjo'
surprise,'Loyal courtier of Congress’ royal dynasty admits what the nation already knew- Congress was unwilling to respond to forces of terror.\n\nThis is a New India- we will answer terrorists in a language they understand and with interest! https://t.co/Mul4LIbKb5'
joy,'The most trusted advisor and guide of the Congress President has kick-started the Pakistan National Day celebrations on behalf of the Congress, ironically by demeaning India’s armed forces.\n\nShame! https://t.co/puSjTK8Y4x'
joy,'#Kesari has released...\nSo I\'m hiding in the bushes ?\nCatch me if you can in cinemas Worldwide? https://t.co/xH0A7YwuXr'
vigour,'The simplest way to save water is to opt for just as much as you need. On #WorldWaterDay, let us pledge to save water with #CuttingPaani 2.0, a @livpurewater\'s initiative. Know more: https://t.co/LwTza3xSXc https://t.co/Fx1ibheQOr'
joy,'Best wishes to Shri @jualoram Ji on his birthday. He has been working assiduously towards improving the lives of tribal communities across India. I pray for his long and healthy life.'
trust,'Welcome to The Bumble Fund, @serenawilliams! We’re very lucky to have you on board ? @bumble\n\nhttps://t.co/lIP7WqOG9C'
joy,'Watching @jbairstow21 & @davidwarner31 bat. Must say everything about their partnership has been extraordinary. Some serious shots and hard running between the wickets in this heat. Truly remarkable...\n\n#SRHvRCB https://t.co/X4Xl1fpfv1'
vigour,'We are all Chowkidars, committed to a strong & prosperous India. Watch the #MainBhiChowkidar programme. https://t.co/XAMy76Uph4'
joy,'good one .. https://t.co/ZqPdqcwGXR'
vigour,'this is amazing and so emotional .. thank you Srinagar .. https://t.co/U7WpTn0Vih'
joy,'RT @ManishK89979565: Yeeeeeeeeeeeeeehhhhhhhhhh??\n#BadlaCrosses125Crores Worldwide...????????\nBBBAAADDDUUUMMMBBBAAA..!!\n????????????\nCongrat…'
joy,'Shamitabh .. Piku .. Wazir .. Teen ..\nPink .. Sarkar 3 .. 102 Not Out .. Thugs of Hindostan .... \nthats a lot of work in a few years .. reminds me of old times when we had as many in ONE year .. !! https://t.co/34VNVSN9O5'
joy,'Addressing the Rashtriya Sammelan of the newly started channel, @TV9Bharatvarsh. Watch. https://t.co/NgeKthEWDg'
trust,'My first ever #jonasbrothers show. And it was incredible!!! I\'m so proud of these guys!! #Family????\n@nickjonas @joejonas @kevinjonas @DeniseJonas @FrankieJonas https://t.co/R2eEP2BGSu'
joy,'There are lakhs of Chowkidars in every part of India. \n\nHere is where you can join a #MainBhiChowkidar programme nearest to your place of stay. \n\nSee you this evening! https://t.co/87zAQ9eJN9'
joy,'Am sure the community of vibrant professionals, especially youngsters will enliven the #MainBhiChowkidar programme with their presence. \n\nThese professionals energise and strengthen India. It is their hardwork that is powering the rise of a New India in the 21st century.'
joy,'The day we were most looking forward to is here!\n\nAt 5 PM, lakhs of Chowkidars from different parts of India will interact in the historic #MainBhiChowkidar programme. \n\nThis is an interaction you must not miss. \n\nWatch it live on the NaMoApp or NaMo TV. https://t.co/XXKkLUuE7X'
joy,'T 3136 - What an amazing IPL game tonight DC v KKR .. and what a super over .. ! We were biting our nails gripping everything around .. and the players were as cool as cucumber !\nErr .. cucumber , right ?'
joy,'A gratifying day in the Northeast.\n\nThis is a region Congress ignored for decades. They also mock the culture of the Northeast particularly local customs. \n\nBond between BJP & Northeast will get stronger in the coming days. \n\nHere are highlights from today’s rallies. https://t.co/vXAsJQm8yh'
joy,'I asked the people of Assam:\n\nWill those who are opposed to India ever work for Assam?\n\nWill those who are neck deep in votebank politics ever protect the culture of Assam? \n\nHere is what the people of Assam said... https://t.co/OZrRSyNXij'
joy,'Even the large ground in Gohpur was too small to accommodate the number of people who joined us at the rally.\n\nThank you Assam! @BJP4Assam https://t.co/XjrIGHadOB'
fear,'Moran has overwhelmed me with the record affection. \n\nAt the @BJP4Assam rally, talked at length about NDA Government’s development agenda, vision for the Northeast and how Assam’s growth has increased under the BJP-led Government. \n\nHere are some pictures. https://t.co/gTTZRz8EBw'
joy,'The strongest ally of Congress is corruption. \n\nWherever there’s Congress, a scam isn’t far behind. \n\nThere is no place for such a culture in India anymore. https://t.co/9FoWsItL3K'
trust,'Totally disconnected from people, Congress failed to improve connectivity in Arunachal Pradesh. \n\nThe NDA Government connected Arunachal Pradesh and thus, transformed the lives of many. https://t.co/ZmVsoZdudV'
joy,'In neglecting aspirations of the Northeast, no party can match Congress’ ‘impeccable’ track record.\n\nThey left villages without infrastructure, homes without electricity & kitchens without gas. \n\nThings have changed. BJP is ensuring that fruits of progress reach people. https://t.co/m7ey5umkDV'
joy,'Arunachal Pradesh represents the best of India’s culture and traditions. The people of this land are known for their valour and patriotism. \n\nToday in Aalo, I urged my sisters and brothers of Arunachal Pradesh to bless the BJP so that we can work even harder for the state. https://t.co/vYzrAzNo0f'
depression,'Come here to Gohpur and see how much affection people have for BJP! Addressing a huge public meeting. https://t.co/lYb0bQI7GF'
joy,'Euphoric atmosphere in Moran. Assam’s support for BJP remains strong. Watch. https://t.co/ATOLIdVNHK'
trust,'Immense support for BJP in Arunachal Pradesh. Watch my speech at Aalo. https://t.co/7rvmSVbeyh'
joy,'OK .. so this is a fine figure for a 77 year old , worn out , has been .. thank you well wishers, audience and lovers of cinema .. !???? https://t.co/jf56r04zAk'
joy,'In case you missed it, sharing highlights from yesterday’s campaign in Odisha, Telangana and Andhra Pradesh. https://t.co/I02r5a7kNx'
trust,'Would be addressing a rally in Aalo, Arunachal Pradesh today. Over the last few years, the @BJP4Arunachal Government in the state has done exceptional work in various sectors. I will request the people of the state to bless BJP in the Lok Sabha and Vidhan Sabha polls.'
vigour,'.. humbled and gratitude filed .. https://t.co/zAEfID2x5e'
trust,'Scared of accountability and sure of a certain defeat, U-Turn Babu has closed ranks with those on bail. https://t.co/m4ljCa5kAp'
joy,'Dear citizens of Andhra Pradesh,\n\nStrengthened by your blessings, your Chowkidar has been able to do a lot for the state. \n\nI  seek your blessings yet again, so that more can be done. https://t.co/IxtZqdXMba'
surprise,'Do you know which party is the best friend of TRS?\n\nWith friends like those, can public interest ever be served? https://t.co/BwcWFpxFED'
depression,'Sought support for BJP at the rally in Mahbubnagar. \n\nThe haste with which the Telangana Assembly was dissolved is inversely proportional to the speed with which the state got Ministers to work. \n\nFor TRS, dynasty and astrology come before working for citizens. https://t.co/hSx43qgNGi'
joy,'RT @republic: #ModiSpeaksToBharat | They see statesmanship in Pakistan PM\'s statements and they doubt their own PM. The people should recog…'
joy,'RT @republic: #ModiSpeaksToBharat | People have given me a job, I have no right to live for myself. I will live for the country, for howeve…'
joy,'RT @republic: #ModiSpeaksToBharat | When I talk about development, the Opposition goes to another topic. This is a government that works 24…'
joy,'RT @republic: #ModiSpeaksToBharat | Previous governments used defence deals as their ATMs. They could not imagine that deals can be done wi…'
joy,'Guided by petty politics, the Odisha Government refuses to allow the people of the state to avail benefits of NDA Government’s welfare measures for farmers and tribal communities. \n\nSuch a Government should not remain in office any longer. https://t.co/kLLz7CsH6W'
joy,'Andhra Pradesh is tired of TDP misrule. AP wants change. AP wants BJP. Speaking in Kurnool. https://t.co/KtdiHNfb0B'
joy,'RT @prashantkawadia: Gurudev @SrBachchan Sir please look at this #AmitabhBachchan Ji Tatoo on @RajibMittra Ji\'s hand https://t.co/U3jLGWpsB7'
depression,'Hello Mahbubnagar! Speaking about BJP’s development agenda at the rally here. Watch. https://t.co/nSzbpFQcuc'
trust,'These images from Koraput demonstrate the tremendous support for BJP in Odisha.\n\nPeople of Odisha are tired of mining mafia, chit fund scams,misgovernance & inability to solve issues relating to health & education.\n\nOdisha is set to reject BJD. Congress is nowhere in the picture! https://t.co/VpB9xo5LxY'
joy,'Answered questions on a wide range of issues in this interview with Arnab Goswami. #ModiSpeaksToBharat https://t.co/49kKUoaIKi'
joy,'Happy to be in Odisha. Watch my speech in Koraput. https://t.co/mi2PCQuvnl'
joy,'never ever get rid of your old sun glares ( i did all mine ) .. all of them repeat in time .. this pic was in the 70\'s .. and I see many similar glares in fashion now .. particularly on my dear friend and super star RANVEER SINGH !!!!?????? https://t.co/aBzWuuPeOZ'
vigour,'what ?? really ...?? ?? https://t.co/x3ruuRk0bU'
joy,'The previous Congress Government in Uttarakhand was more visible appeasing party leaders in Delhi instead of working for the state.\n\nThe BJP Governments at the Centre and in Uttarakhand have been working day and night to transform the state. https://t.co/dOErSBgd1o'
trust,'These pictures from Rudrapur indicate which Party is Uttarakhand\'s preferred choice!\n\nGrateful to all those who joined the rally in large numbers. @BJP4UK https://t.co/W4D066hyrD'
joy,'Today, from Meerut I began my rallies for the 2019 Lok Sabha polls. \n\nPresented a comprehensive picture of the work done by the NDA Government and highlighted the blatant opportunism of the Opposition. @BJP4UP https://t.co/RpqFOwaR7k'
trust,'Grateful to the people of Jammu for the affection. Speaking at a rally. Watch. https://t.co/syGJ4rGDbL'
joy,'It\'s been overwhelming, this journey of #Kesari and your love!\nhttps://t.co/3XndVsV9w9\nhttps://t.co/7SzZ28Zul4\n\n@ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies #CapeOfGoodFilms @iAmAzure @ZeeStudios_ https://t.co/ytdG3XFFQB'
joy,'Addressing a massive rally in Meerut. Watch. https://t.co/pQajSHmqpX'
joy,'Dear friends, \n\nOver the next few days, I would be travelling across the country seeking your support for the upcoming Lok Sabha polls. \n\nToday, I would be addressing rallies in Meerut (UP), Rudrapur (Uttarakhand) and Jammu (J&K). \n\nWatch the rallies live on the NaMo App.'
joy,'It’s here!! Go watch go watch! #JustOneThing @YouTube\n@DVF @Simone_Biles @awkwafina\n\nhttps://t.co/kBInuKl2L5 https://t.co/Lv121jtxjJ'
joy,'Our scientists are our pride. Their hardwork and perseverance ensured that #MissionShakti is a success. https://t.co/Ru3XE1vnjE'
trust,'You\'re always there to support @RCBTweets on the field, now connect with us off the field as well. ? Fitness routine, exclusive inside stories and more on the official #RCB app. Download now and start exploring. ? #PlayBold\nLink - https://t.co/wB1jUSeJ4A https://t.co/oLQstB6JdH'
trust,'Proud to see India advance into a select group of nations which possess Anti-Satellite Missiles. Congratulations to our scientists at #ISRO & PM @narendramodi on this momentous achievement. #MissionShakti'
joy,'Less than one hour until #JustOneThing !!\n\nhttps://t.co/3Qg9wLLNQd'
joy,'Indeed Pranab Da. \n\nThese rich words from a distinguished statesman like you, who has also dealt with issues of national security, will greatly encourage our scientists and engineers. They have always worked to strengthen India and will continue to do so. #MissionShakti https://t.co/BvzsSQfUNA'
trust,'Indeed, a proud moment for the whole nation.\n\nJust like you smash the bad deliveries out of the park, our scientists have given India the capability to smash those forces who threaten our peace and harmony. #MissionShakti https://t.co/U4mpQiH9Fn'
anger,'Full credit to our scientists who succeeded in making India a part of an elite group of countries who have ASAT missile capability.\n\nUndaunted by the shameful mockery of a select few, they continue to serve Maa Bharti. #MissionShakti https://t.co/FQ7ZuQChTi'
joy,'Kiran ji, India\'s indefatigable scientists continue to redefine the contours of our capabilities and take it to greater heights. They invent, innovate and boost our development trajectory. #MissionShakti https://t.co/WQBtDJiQ2O'
joy,'#MissionShakti is special for 2 reasons:\n(1) India is only the 4th country to acquire such a specialised & modern capability. \n(2) Entire effort is indigenous. \nIndia stands tall as a space power! \nIt will make India stronger, even more secure and will further peace and harmony.'
joy,'#MissionShakti was a highly complex one, conducted at extremely high speed with remarkable precision. It shows the remarkable dexterity of India’s outstanding scientists and the success of our space programme.'
joy,'In the journey of every nation there are moments that bring utmost pride and have a historic impact on generations to come. \n\nOne such moment is today.\n\nIndia has successfully tested the Anti-Satellite (ASAT) Missile. Congratulations to everyone on the success of #MissionShakti.'
joy,'An important message to the nation. Watch. https://t.co/0LEOATgOOQ'
vigour,'Owning the streets like a boss with my @amtouristerin #SwagPack! ??? #GoSwagpackin https://t.co/4Ho4DYsM6r'
joy,'TOMORROW. #JustOneThing \n\n@DVF @Simone_Biles @awkwafina @YouTube https://t.co/AZmfH0S41a'
joy,'Back in Bangalore and back to work. #thegrindneverstops https://t.co/Tu5uFHexmi'
joy,'Best day off ever!!! @nickjonas @joejonas @SophieT #JSisters ????? https://t.co/0N5DylobuD'
joy,'When the crew looks this good ????\n\n@SophieT @nickjonas @joejonas @kevinjonas @chasefoster @MDeleasaChile https://t.co/ki2zgOaOMp'
joy,'T 3131 - Earth Hour , INDIA .. Saturday 30th March 2019 ..  8.30 pm to 9.30 pm ! Switch OFF non essential lights ! Join the \'Bee4ThePlanet\' challenge on social media !?\nI did last year .. I will this year too !!'
joy,'please please please .. its a great story !!??????? https://t.co/RVckBziCB4'
joy,'At such a young age, your brother is thinking about cleanliness and patriotism. Remarkable! https://t.co/M2U4VRMNKm'
vigour,'Absolutely! \n\nA strong Government can ensure a developed India. https://t.co/jIKzVfeJ2C'
joy,'Glad you liked it. https://t.co/ld2GJZGDQM'
joy,'Appreciable effort! https://t.co/W1b9qxrdV3'
joy,'Birthday wishes to my valued Cabinet colleague @ChBirenderSingh Ji. \n\nBirender Ji is a veteran leader whose experience is an asset for the BJP and Central Government. His passion for farmer welfare and work in the steel sector is noteworthy. Praying for his long and healthy life.'
trust,'Voting isn’t just about making a choice it’s about being responsible and being sensitive. Please earn your democracy. Please vote this time. https://t.co/ZyNd4bv0Om'
joy,'Channelled my inner @Oprah and chatted with three incredibly inspiring women! Cannot wait to share their stories with you in my new @YouTube special If I Could Tell You Just One Thing out March, 27th \n#JustOneThing \n\nhttps://t.co/xIRgIrE3do https://t.co/uMvH35NqBk'
trust,'Noted athletes @HimaDas8, @DipaKarmakar and @SakshiMalik, \n\nIndia is proud of you and you inspire many others youngsters. \n\nNow, it is time to inspire greater voter awareness and participation, especially among youngsters. #VoteKar'
joy,'If you are undertaking any innovative voter awareness campaign, do share details using #VoteKar. \n\nTogether, we will ensure maximum Indians exercise their franchise.'
joy,'I call upon @itsSSR, @TheAaryanKartik and @kritisanon to help increase voter awareness. You are the younger generation that is taking Indian cinema places. \n\nThe power of youth will also strengthen our democracy. \n\nTell everyone- #VoteKar'
joy,'A request to @ektaravikapoor, @ParineetiChopra and @SidMalhotra- As prominent Indians whose achievements are much admired, your voice has immense reach. \n\nI appeal to you to raise voter awareness and strengthen democracy. #VoteKar'
joy,'Newspapers are a fantastic way to reaffirm the vitality of voting. \n\nThat is why, I request the teams of @manoramaonline, @AmarUjalaNews and Sakal Media Group to motivate more people to exercise their franchise through innovative voter awareness campaigns. #VoteKar'
joy,'Participative democracy can be furthered through high voter turnout. \n\nI urge @MiLOKMAT, @NavbharatTimes and @punjabkesari to increase vote awareness and turnout. \n\nTheir doing so would strengthen our polity. #VoteKar'
joy,'I would request @TVMohandasPai, @ShekharGupta, @DrSYQuraishi and @punitgoenka to highlight the importance of high voter turnout, especially among youngsters. \n\nThe words of these individuals will surely bring more people to the polling booth. #VoteKar'
joy,'Dear @imbhandarkar, @vivekagnihotri and @RajkummarRao, \n\nYour work in the cinema industry has touched upon interesting and innovative themes. Your words and actions matter. \n\nI request you to increase voter awareness and motivate youth to vote in large numbers. #VoteKar'
vigour,'As widely watched news personalities, I call upon @bhupendrachaube, @szarabi & @AMISHDEVGAN to leverage the power of electronic media to ensure high turnout in the 2019 Lok Sabha polls. After all, a vote is a powerful way to bring about a positive difference in society. #VoteKar'
joy,'It would be wonderful if @SwetaSinghAT, @debjani_ghosh_ and @chitraaum devote time and energy towards boosting voter turnout in the upcoming Parliamentary elections. \n\nTell the people of India- #VoteKar.'
joy,'On the cricket field, @SDhawan25, @BhuviOfficial and @ashwinravi99 shine with their incredible talent and absolute commitment towards their team. \n\nI urge them to encourage greater voter awareness and voter participation. \n\nYoung India will follow their lead. #VoteKar'
joy,'Dear @AnilKapoor, @ajaydevgn & @MadhuriDixit, \n\nAfter the box office, it is time to create Total Dhamaal at the polling booths.\n\nYour support to the #VoteKar movement will augur well for India’s democracy.\n\nLet us ensure high voter turnout!'
joy,'Dear @vikramchandra, @rajeshkalra and @abhijitmajumder, \n\nToday a large number of youngsters consume news on the move. \n\nIt’s time to motivate them to #VoteKar to ensure a better tomorrow.'
joy,'Dear @iHrithik and @ActorMadhavan, \n\nYour work has stood out not only for the entertainment quotient but also for the passion and hardwork behind it. As widely respected voices, if you lend your voice towards increasing voter awareness, it strengthens India\'s democracy. #VoteKar'
trust,'The formidable @AnupamPKher, multifaceted @iKabirBedi and the widely acclaimed @shekharkapur have made India very proud at the world stage. \n\nMy appeal to them- can you tell fellow Indians to vote in large numbers in the upcoming elections? #VoteKar'
joy,'My fellow Indians,\n\nThe time has come to say- #VoteKar.\n\nIn the upcoming Lok Sabha elections, ensure that you as well as your family and friends turnout in record numbers.\n\nYour doing so will have a positive impact on the nation’s future.'
joy,'The #MainBhiChowkidar programme on the 31st will look even better with the attractive merchandise! \n\nHave you ordered yours? https://t.co/HVgLzNyClq'
joy,'For the 31st programme you can:\n\nShare your thoughts and ideas using #MainBhiChowkidar.\n\nMobilise people to join the interaction. \n\nOrganise an event to watch the interaction with family and friends. After all, greater participation would mean greater enthusiasm.'
joy,'Dear Doctors, Lawyers, Engineers, Teachers, IT professionals, Bankers,\n\nEach of you plays a vital role in making our nation a better place. \n\nYour efforts ensure India is healthier, prosperous, advanced and educated. \n\nSpecially inviting you to join #MainBhiChowkidar programme.'
joy,'31st March 2019…an invigorating interaction with lakhs of Chowkidars from over 500 locations across the length and breadth of India. \n\nYour participation in the #MainBhiChowkidar programme will make the interaction even more special. \n\nRegister now! https://t.co/pAqjQE97b5'
depression,'Sharing an interesting section on my website that gives you a comprehensive glimpse of the NDA government’s work in various sectors over the last 5 years. \n\nYou can find interesting articles, news updates and attractive infographics here. \n\nhttps://t.co/pVEuuZmlqR'
joy,'Government of India and various State Governments are working hard to make India TB-free by 2025, 5 years before the global target of 2030. \nCentre’s efforts such as TB Free India campaign and Ayushman Bharat are improving health standards and providing assistance to TB patients.'
anger,'Today, on World TB Day we reaffirm our commitment towards ensuring a TB-free society. This would greatly benefit the poor. \n\nCorrect and complete treatment is the key to winning the battle against TB. I also salute the people and organisations strengthening the TB-free movement.'
joy,'The vibrant colours of Holi and Josh of so many Chowkidars...thank you for sharing. \n\nWonderful effort! https://t.co/Ltl9Uc3Qof'
confusion,'Absolutely! \n\nHumbled to see her extend solidarity. \n\nPlease convey my regards to your grandmother. https://t.co/6sesph2cg0'
joy,'Superb enthusiasm in Jammu! \n\nMy best wishes to the young Chowkidars.\n\nLooking forward to seeing you all on the 31st! \n\nJoin the #MainBhiChowkidar programme. You could also organise your own programme, where you all watch the programme together. https://t.co/ObbMEgxT7Y'
joy,'New season brings new battles! Challenge each other and play the @SachinSagaGame ! Prove your mettle and win big.\n\n@AppStore #SachinSaga \n\n https://t.co/SLyDJLAPNx https://t.co/V6eZW3lyY2'
trust,'RT @bhhupender: My son #Arshveer turns #Kesari @akshaykumar sir we are proud to be Sikhs really super duper blockbuster movie.After a long…'
fear,'RT @PaytmTickets: .@akshaykumar’s terrific portrayal of Havildar Ishar Singh perfectly brings to life the bravery of zealous warriors on th…'
joy,'Today they are betraying the principles of Dr. Ram Manohar Lohia, tomorrow they will also betray the people of India. \n\nMy thoughts on why those who claim to follow Dr. Lohia have let him down. Do read. \n\nhttps://t.co/gq1srcXwkx'
trust,'Seeing this tweet made me so happy ? Proud to have such fans ?? https://t.co/HE2wzMbECy'
joy,'Greetings to @smritiirani Ji on her birthday. She has made valuable contributions towards strengthening the BJP and in the working of key sectors of the Government. I pray for her long life and good health. I also convey my best wishes to her for the upcoming election in Amethi.'
joy,'Thank you for your kind words. Let’s do this #brown power https://t.co/9qas6fD8Hj'
joy,'Special people do special things.\n\nCongratulations to all the athletes and the support staff of #TeamIndia on winning a staggering 368 medals ?at the @WorldGamesAD.\n\n?? ??????\n\n#SpecialOlympicsWorldGames2019 https://t.co/qfx9iit6pB'
anticipation,'This is the cutest picture I’ve seen today, hope they enjoyed the film. God bless them ?? https://t.co/eJdu9TlabD'
vigour,'Thank you Satnam :) https://t.co/az6q4b6M4c'
depression,'My condolences to the family and supporters of Karnataka Minister Shri CS Shivalli. \n\nShri Shivalli will be remembered for his service to Karnataka. May his soul rest in peace.'
joy,'Thank you ji ??? https://t.co/GrDvZD2SIr'
joy,'Big hug to your little one?? So glad to see parents taking their children for Kesari ?? https://t.co/g59hqGlmwL'
vigour,'Thank you https://t.co/Or25PWHAFi'
vigour,'Thank you ?? https://t.co/PYjxGLZIYa'
joy,'T 3127 - On the festive HOLI celebrations what a beautiful way to express unity, universality and the joys of coming together .. sent to me on WhatsApp .. \n??? ??? , ??? ??? , \n?? ??? ???? ?? ??? ~ab https://t.co/l5aOUUA18q'
joy,'T 3127 - On the festive HOLI celebrations what a beautiful way to express unity, universality and the joys of coming & being together .. sent to me on WhatsApp .. \n??? ??? , ??? ??? , \n?? ??? ???? ?? ??? ~ab https://t.co/k7vEo2Fdod'
joy,'To unlock your potential in what you do, it will require a great deal of practice, patience and consistency. Make it happen guys and ensure you have the right support along the way to hit your goals. ? #one8 @Puma https://t.co/K22ZxHublA'
joy,'Opposition insults our forces time and again.\n\nI appeal to my fellow Indians- question Opposition leaders on their statements.\n\nTell them- 130 crore Indians will not forgive or forget the Opposition for their antics. \n\nIndia stands firmly with our forces. \n\n#JantaMaafNahiKaregi https://t.co/rwpFKMMeHY'
joy,'Opposition is the natural habitat of terror apologists and questioners of our armed forces. \n\nThis reprehensible statement by a senior leader like Ram Gopal Ji insults all those who have given their lives in protecting Kashmir. It humiliates the families of our martyrs. https://t.co/BZyWbIyJjo'
surprise,'Loyal courtier of Congress’ royal dynasty admits what the nation already knew- Congress was unwilling to respond to forces of terror.\n\nThis is a New India- we will answer terrorists in a language they understand and with interest! https://t.co/Mul4LIbKb5'
joy,'The most trusted advisor and guide of the Congress President has kick-started the Pakistan National Day celebrations on behalf of the Congress, ironically by demeaning India’s armed forces.\n\nShame! https://t.co/puSjTK8Y4x'
joy,'#Kesari has released...\nSo I\'m hiding in the bushes ?\nCatch me if you can in cinemas Worldwide? https://t.co/xH0A7YwuXr'
vigour,'The simplest way to save water is to opt for just as much as you need. On #WorldWaterDay, let us pledge to save water with #CuttingPaani 2.0, a @livpurewater\'s initiative. Know more: https://t.co/LwTza3xSXc https://t.co/Fx1ibheQOr'
